i	11.9548	23
t 0	15.4814	23
i	55.8405	115
t 0	59.629	115
i	76.6007	161
t 0	80.0782	161
i	115.049	244
t 0	118.184	244
i	121.155	257
t 0	126.723	257
h 0	149.741	305
t 0	150.772	305
i	151.717	321
t 0	152.021	321
i	155.326	325
h 0	155.856	324
t 0	159.164	325
t 0	161.048	324
i	171.333	369
i	176.269	379
t 0	177.798	369
i	181.48	388
t 0	182.036	379
t 0	185.039	388
i	200.146	431
i	202.037	434
t 0	202.277	434
t 0	203.591	431
i	208.552	447
t 0	213.244	447
i	223.318	477
h 0	223.493	470
t 0	224.361	477
t 0	226.354	470
i	227.343	485
t 0	229.631	485
i	242.971	517
t 0	247.729	517
h 0	253.385	533
h 0	256.46	538
t 0	259.116	533
i	259.161	544
t 0	262.556	538
t 0	264.167	544
i	281.036	591
h 0	284.241	594
t 0	284.726	591
t 0	289.415	594
i	293.853	616
t 0	295.235	616
h 0	337.764	687
t 0	337.798	687
i	343.06	712
h 0	344.425	701
t 0	344.619	701
t 0	349.408	712
i	355.957	744
t 0	361.79	744
i	365.54	765
t 0	369.165	765
i	369.605	772
t 0	370.874	772
i	371.713	776
t 0	372.162	776
i	383.791	803
t 0	390.206	803
i	391.745	817
t 0	392.129	817
i	397.038	829
i	400.701	838
t 0	400.712	829
t 0	406.783	838
i	419.134	875
i	421.946	880
t 0	423.218	875
t 0	424.234	880
i	427.458	894
t 0	428.373	894
i	430.263	898
t 0	434.166	898
i	437.155	911
t 0	437.78	911
i	438.12	912
t 0	443.837	912
i	446.342	928
t 0	451.364	928
i	461.386	959
h 0	461.681	959
t 0	461.691	959
t 0	463.01	959
i	484.632	1011
t 0	488.486	1011
i	492.703	1030
t 0	494.91	1030
i	509.218	1061
t 0	510.972	1061
i	516.445	1074
t 0	517.424	1074
i	518.686	1078
i	523.063	1088
t 0	523.378	1078
h 0	523.7	1088
t 0	523.71	1088
t 0	524.703	1088
i	528.176	1100
t 0	530.027	1100
i	543.062	1134
t 0	543.896	1134
i	544.603	1136
t 0	547.526	1136
i	575.934	1203
t 0	577.348	1203
i	588.702	1229
i	590	1231
t 0	592.337	1231
t 0	593.757	1229
i	624.64	1299
t 0	630.523	1299
i	656.352	1361
t 0	661.391	1361
i	664.05	1378
i	667.298	1385
t 0	668.709	1378
h 0	668.924	1377
t 0	669.732	1385
t 0	670.195	1377
i	719.666	1489
t 0	719.73	1489
i	721.612	1493
t 0	722.221	1493
i	725.778	1500
t 0	728.603	1500
i	732.85	1515
i	733.842	1516
t 0	735.063	1516
i	737.06	1522
t 0	737.942	1522
t 0	738.434	1515
i	750.111	1554
t 0	751.058	1554
i	762.04	1577
t 0	767.244	1577
i	778.477	1606
t 0	782.889	1606
i	790.296	1629
t 0	791.243	1629
i	795.437	1637
t 0	797.66	1637
i	809.602	1671
t 0	813.932	1671
i	875.68	1807
